  Upd     Win   Draw   Loss    π-loss   V-loss       H    Buf      s
  288   90.0%   0.0%  10.0%   -0.0645   0.4032  1.9381   6791    1.4
  289   90.0%   0.0%  10.0%   -0.0579   0.4128  1.8878   7019    1.5
  290   94.0%   0.0%   6.0%   -0.0628   0.4032  1.8745   6997    1.6
  291   95.0%   0.0%   5.0%   -0.0612   0.3824  1.8441   7021    1.4
  292  100.0%   0.0%   0.0%   -0.0652   0.3728  1.8629   7305    1.6
  293   90.0%   0.0%  10.0%   -0.0564   0.3918  1.8727   6612    1.4
  294  100.0%   0.0%   0.0%   -0.0625   0.3738  1.8695   6864    1.4
  295   90.0%   0.0%  10.0%   -0.0625   0.4152  1.8544   6698    1.6
  296  100.0%   0.0%   0.0%   -0.0620   0.3846  1.8660   6507    1.4
  297  100.0%   0.0%   0.0%   -0.0622   0.4130  1.8508   6716    1.6
  298  100.0%   0.0%   0.0%   -0.0630   0.3876  1.8696   6784    1.6
  299  100.0%   0.0%   0.0%   -0.0627   0.4117  1.8702   6618    1.4
  300   94.0%   0.0%   6.0%   -0.0642   0.3923  1.8990   6871    1.4
  301   80.0%   0.0%  20.0%   -0.0601   0.3984  1.8700   6933    1.4
  302  100.0%   0.0%   0.0%   -0.0621   0.3979  1.8804   6792    1.4
  303  100.0%   0.0%   0.0%   -0.0643   0.4284  1.8786   6628    1.4
  304  100.0%   0.0%   0.0%   -0.0572   0.3845  1.8491   6882    1.6
  305  100.0%   0.0%   0.0%   -0.0591   0.4123  1.8477   6247    1.6
  306   90.0%   0.0%  10.0%   -0.0644   0.3959  1.8628   6539    1.5
  307  100.0%   0.0%   0.0%   -0.0648   0.4250  1.8549   6544    1.4
  308  100.0%   0.0%   0.0%   -0.0587   0.3837  1.8421   6748    1.4
  309   95.0%   0.0%   5.0%   -0.0611   0.4125  1.8604   6744    1.4
  310   96.0%   0.0%   4.0%   -0.0673   0.4190  1.8751   6487    1.4
  311  100.0%   0.0%   0.0%   -0.0665   0.4231  1.8796   6228    1.4
  312  100.0%   0.0%   0.0%   -0.0636   0.4273  1.8671   6465    1.4
  313  100.0%   0.0%   0.0%   -0.0639   0.3959  1.8549   6724    1.9
  314  100.0%   0.0%   0.0%   -0.0612   0.4014  1.8121   6602    1.5
  315   95.0%   0.0%   5.0%   -0.0569   0.4178  1.8032   6919    1.4
  316   95.0%   0.0%   5.0%   -0.0601   0.4020  1.8210   6731    1.4
  317   95.0%   0.0%   5.0%   -0.0615   0.4117  1.8235   6626    1.4
  318  100.0%   0.0%   0.0%   -0.0594   0.4047  1.8401   6840    1.4
  319   85.0%   0.0%  15.0%   -0.0607   0.4127  1.8138   6779    1.4
  320   95.0%   0.0%   5.0%   -0.0630   0.4062  1.7897   6799    1.4
  321   95.0%   0.0%   5.0%   -0.0642   0.4004  1.7783   6921    1.6
  322  100.0%   0.0%   0.0%   -0.0593   0.4115  1.7816   6906    1.6
  323  100.0%   0.0%   0.0%   -0.0643   0.4049  1.7913   7202    1.6
  324   95.0%   0.0%   5.0%   -0.0591   0.4079  1.7635   6805    1.4
  325  100.0%   0.0%   0.0%   -0.0654   0.4090  1.7716   7258    1.6
  326   95.0%   0.0%   5.0%   -0.0595   0.4056  1.7558   7109    1.4
  327   90.0%   0.0%  10.0%   -0.0615   0.4130  1.7320   6936    1.5
  328   85.0%   0.0%  15.0%   -0.0640   0.3970  1.7647   6740    1.4
  329   95.0%   0.0%   5.0%   -0.0616   0.4179  1.7726   7101    1.6
  330   96.5%   0.0%   3.5%   -0.0649   0.4214  1.7877   6542    1.5
  331   95.0%   0.0%   5.0%   -0.0582   0.4146  1.7543   6941    1.4
  332  100.0%   0.0%   0.0%   -0.0584   0.4041  1.7513   6936    1.4
  333  100.0%   0.0%   0.0%   -0.0582   0.3978  1.7234   7069    1.4
  334   90.0%   0.0%  10.0%   -0.0653   0.4255  1.7353   6935    1.4
  335   95.0%   0.0%   5.0%   -0.0629   0.4119  1.7220   7002    1.4
  336   95.0%   0.0%   5.0%   -0.0658   0.4049  1.7388   6900    1.5
  337   90.0%   0.0%  10.0%   -0.0634   0.4072  1.7128   6832    1.6
